City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
572,miyaly,14.0,KZ,1701886367.0,92.0,48.8844,53.7836,-7.38,1.89
573,brisas de zicatela,83.0,MX,1701886367.0,55.0,15.8369,-97.0419,30.69,2.2
574,punta del este,75.0,UY,1701886367.0,95.0,-34.9667,-54.95,21.06,3.6
575,port blair,100.0,IN,1701886367.0,78.0,11.6667,92.75,27.09,1.38
576,xianning,0.0,CN,1701886368.0,36.0,29.8833,114.2167,12.15,2.93
577,pokrovsk,100.0,UA,1701886368.0,67.0,48.282,37.1758,-1.4,6.54
578,kavieng,99.0,PG,1701886293.0,79.0,-2.5744,150.7967,27.94,3.37
579,medvezh'yegorsk,94.0,RU,1701886368.0,100.0,62.9167,34.4667,-18.87,0.12
580,jiagedaqi,97.0,CN,1701886368.0,79.0,50.4167,124.1167,-16.18,2.52
581,tambopata,40.0,PE,1701886368.0,62.0,-12.7333,-69.1833,30.94,3.09
582,bel ombre,75.0,SC,1701886369.0,89.0,-4.6167,55.4167,25.91,9.26
583,svetlyy,100.0,RU,1701886369.0,93.0,54.675,20.1347,-2.97,5.51
584,center,0.0,US,1701886369.0,44.0,31.5107,-96.4247,16.25,2.06
585,eyl,96.0,SO,1701886285.0,71.0,7.9803,49.8164,25.47,10.47
